ArraySize,ArrayType,SortType,N,Duration(µs)
0500,Random,MergeSort,-1,135
0500,ReverseSorted,MergeSort,-1,146
0500,AlmostSorted,MergeSort,-1,138
0500,Random,HybridSort,5,86
0500,ReverseSorted,HybridSort,5,57
0500,AlmostSorted,HybridSort,5,51
0500,Random,HybridSort,10,63
0500,ReverseSorted,HybridSort,10,46
0500,AlmostSorted,HybridSort,10,38
0500,Random,HybridSort,20,54
0500,ReverseSorted,HybridSort,20,44
0500,AlmostSorted,HybridSort,20,40
0500,Random,HybridSort,50,63
0500,ReverseSorted,HybridSort,50,73
0500,AlmostSorted,HybridSort,50,33
0600,Random,MergeSort,-1,157
0600,ReverseSorted,MergeSort,-1,158
0600,AlmostSorted,MergeSort,-1,147
0600,Random,HybridSort,5,116
0600,ReverseSorted,HybridSort,5,90
0600,AlmostSorted,HybridSort,5,59
0600,Random,HybridSort,10,77
0600,ReverseSorted,HybridSort,10,55
0600,AlmostSorted,HybridSort,10,45
0600,Random,HybridSort,20,90
0600,ReverseSorted,HybridSort,20,54
0600,AlmostSorted,HybridSort,20,35
0600,Random,HybridSort,50,76
0600,ReverseSorted,HybridSort,50,66
0600,AlmostSorted,HybridSort,50,27
0700,Random,MergeSort,-1,182
0700,ReverseSorted,MergeSort,-1,171
0700,AlmostSorted,MergeSort,-1,192
0700,Random,HybridSort,5,139
0700,ReverseSorted,HybridSort,5,109
0700,AlmostSorted,HybridSort,5,102
0700,Random,HybridSort,10,101
0700,ReverseSorted,HybridSort,10,97
0700,AlmostSorted,HybridSort,10,99
0700,Random,HybridSort,20,114
0700,ReverseSorted,HybridSort,20,73
0700,AlmostSorted,HybridSort,20,51
0700,Random,HybridSort,50,78
0700,ReverseSorted,HybridSort,50,95
0700,AlmostSorted,HybridSort,50,31
0800,Random,MergeSort,-1,196
0800,ReverseSorted,MergeSort,-1,199
0800,AlmostSorted,MergeSort,-1,193
0800,Random,HybridSort,5,159
0800,ReverseSorted,HybridSort,5,111
0800,AlmostSorted,HybridSort,5,98
0800,Random,HybridSort,10,119
0800,ReverseSorted,HybridSort,10,109
0800,AlmostSorted,HybridSort,10,99
0800,Random,HybridSort,20,99
0800,ReverseSorted,HybridSort,20,108
0800,AlmostSorted,HybridSort,20,67
0800,Random,HybridSort,50,98
0800,ReverseSorted,HybridSort,50,103
0800,AlmostSorted,HybridSort,50,34
0900,Random,MergeSort,-1,233
0900,ReverseSorted,MergeSort,-1,194
0900,AlmostSorted,MergeSort,-1,228
0900,Random,HybridSort,5,147
0900,ReverseSorted,HybridSort,5,119
0900,AlmostSorted,HybridSort,5,116
0900,Random,HybridSort,10,160
0900,ReverseSorted,HybridSort,10,117
0900,AlmostSorted,HybridSort,10,105
0900,Random,HybridSort,20,113
0900,ReverseSorted,HybridSort,20,85
0900,AlmostSorted,HybridSort,20,76
0900,Random,HybridSort,50,126
0900,ReverseSorted,HybridSort,50,118
0900,AlmostSorted,HybridSort,50,52
1000,Random,MergeSort,-1,251
1000,ReverseSorted,MergeSort,-1,237
1000,AlmostSorted,MergeSort,-1,223
1000,Random,HybridSort,5,193
1000,ReverseSorted,HybridSort,5,152
1000,AlmostSorted,HybridSort,5,133
1000,Random,HybridSort,10,147
1000,ReverseSorted,HybridSort,10,97
1000,AlmostSorted,HybridSort,10,87
1000,Random,HybridSort,20,124
1000,ReverseSorted,HybridSort,20,124
1000,AlmostSorted,HybridSort,20,78
1000,Random,HybridSort,50,118
1000,ReverseSorted,HybridSort,50,139
1000,AlmostSorted,HybridSort,50,54
1100,Random,MergeSort,-1,288
1100,ReverseSorted,MergeSort,-1,231
1100,AlmostSorted,MergeSort,-1,236
1100,Random,HybridSort,5,186
1100,ReverseSorted,HybridSort,5,156
1100,AlmostSorted,HybridSort,5,123
1100,Random,HybridSort,10,154
1100,ReverseSorted,HybridSort,10,119
1100,AlmostSorted,HybridSort,10,123
1100,Random,HybridSort,20,140
1100,ReverseSorted,HybridSort,20,132
1100,AlmostSorted,HybridSort,20,98
1100,Random,HybridSort,50,132
1100,ReverseSorted,HybridSort,50,133
1100,AlmostSorted,HybridSort,50,60
1200,Random,MergeSort,-1,307
1200,ReverseSorted,MergeSort,-1,265
1200,AlmostSorted,MergeSort,-1,251
1200,Random,HybridSort,5,228
1200,ReverseSorted,HybridSort,5,170
1200,AlmostSorted,HybridSort,5,148
1200,Random,HybridSort,10,200
1200,ReverseSorted,HybridSort,10,120
1200,AlmostSorted,HybridSort,10,105
1200,Random,HybridSort,20,152
1200,ReverseSorted,HybridSort,20,122
1200,AlmostSorted,HybridSort,20,81
1200,Random,HybridSort,50,166
1200,ReverseSorted,HybridSort,50,178
1200,AlmostSorted,HybridSort,50,63
1300,Random,MergeSort,-1,338
1300,ReverseSorted,MergeSort,-1,307
1300,AlmostSorted,MergeSort,-1,297
1300,Random,HybridSort,5,214
1300,ReverseSorted,HybridSort,5,181
1300,AlmostSorted,HybridSort,5,156
1300,Random,HybridSort,10,219
1300,ReverseSorted,HybridSort,10,168
1300,AlmostSorted,HybridSort,10,112
1300,Random,HybridSort,20,205
1300,ReverseSorted,HybridSort,20,129
1300,AlmostSorted,HybridSort,20,105
1300,Random,HybridSort,50,154
1300,ReverseSorted,HybridSort,50,162
1300,AlmostSorted,HybridSort,50,69
1400,Random,MergeSort,-1,369
1400,ReverseSorted,MergeSort,-1,307
1400,AlmostSorted,MergeSort,-1,287
1400,Random,HybridSort,5,276
1400,ReverseSorted,HybridSort,5,174
1400,AlmostSorted,HybridSort,5,197
1400,Random,HybridSort,10,279
1400,ReverseSorted,HybridSort,10,183
1400,AlmostSorted,HybridSort,10,200
1400,Random,HybridSort,20,231
1400,ReverseSorted,HybridSort,20,171
1400,AlmostSorted,HybridSort,20,149
1400,Random,HybridSort,50,190
1400,ReverseSorted,HybridSort,50,178
1400,AlmostSorted,HybridSort,50,80
1500,Random,MergeSort,-1,397
1500,ReverseSorted,MergeSort,-1,322
1500,AlmostSorted,MergeSort,-1,326
1500,Random,HybridSort,5,288
1500,ReverseSorted,HybridSort,5,231
1500,AlmostSorted,HybridSort,5,211
1500,Random,HybridSort,10,256
1500,ReverseSorted,HybridSort,10,188
1500,AlmostSorted,HybridSort,10,160
1500,Random,HybridSort,20,207
1500,ReverseSorted,HybridSort,20,159
1500,AlmostSorted,HybridSort,20,114
1500,Random,HybridSort,50,204
1500,ReverseSorted,HybridSort,50,199
1500,AlmostSorted,HybridSort,50,81
1600,Random,MergeSort,-1,407
1600,ReverseSorted,MergeSort,-1,361
1600,AlmostSorted,MergeSort,-1,341
1600,Random,HybridSort,5,309
1600,ReverseSorted,HybridSort,5,245
1600,AlmostSorted,HybridSort,5,220
1600,Random,HybridSort,10,298
1600,ReverseSorted,HybridSort,10,186
1600,AlmostSorted,HybridSort,10,168
1600,Random,HybridSort,20,221
1600,ReverseSorted,HybridSort,20,154
1600,AlmostSorted,HybridSort,20,141
1600,Random,HybridSort,50,210
1600,ReverseSorted,HybridSort,50,215
1600,AlmostSorted,HybridSort,50,98
1700,Random,MergeSort,-1,467
1700,ReverseSorted,MergeSort,-1,397
1700,AlmostSorted,MergeSort,-1,405
